序号,标题,原始链接,真实链接
1,"滋兰树蕙,初心不渝!这是北师大人的支教故事",http://www.baidu.com/link?url=fhMrS0ijbx2E1FMthtQ7Ep0U23XRmaDibDsUTo8vRPy0-1zwJauMqTGcdV2eCDiLmmc6tRowGurXlKdbsr1Ut6c1uGMO_vpb8pTWBt5uFAjVbRDOViH1LOASM45e6GOpwMwRaYGZv4Lo_VIZ486iGa_K3qRURSrsttZjlnuTO_uDMs-OaL2l1kmamqLwfM3GfVYcNkeDwJfscD6OmM_x7vEEONjYnQObDKbAK95wUF-F4qB8G-9jHJeDZPwGVPqe29kXSxXr94JOJdq4OY_Fv_,https://mp.weixin.qq.com/s?__biz=MjM5MTg4NjM2MQ==&mid=2658026178&idx=1&sn=612282349b8f699961c2a5094c4aee61&chksm=bcdaeb64e12807156bc1e2a222608ce12d92d780fefd90a9a991dfeb14045b14770fb93558fa&scene=27
2,北京师范大学党委学生工作部资助管理中心,http://www.baidu.com/link?url=o355mLZy2vYfccYvK_f8UwOAVxzd23uL-93QEVyE8IkJ5UUwGrv6XnUQSJUAj40ic42PPPLGoX0q_EDFCd30uPcLYQSbsu6NzVwxWK3krpRbq0ozC2LyJLT30HqEBZ_B,https://xszz.bnu.edu.cn/zzyr/lzsjxly/1f97bbf6cb1b441b947d10cc851634c7.htm
3,"BNU研支团丨木铎金声,滋兰树蕙,我们的支教回忆——刘婧晞:不辞...",http://www.baidu.com/link?url=fhMrS0ijbx2E1FMthtQ7Ep0U23XRmaDibDsUTo8vRPztg1V0768pHPEyD-w1vQX4pwcwuRkFjXHoTNb9s_BSGuaoyuIlQZYkKCZfU8POvQt3xcukQKFyjDoJl-3CdnV9_avYL2VVkhgRGTD-cd_NihIjN4TDfm2Q4u5b61h-tVzB54BY1aRg3ZzBazBJSavue3aMosJa2oZhqOVqjreWthwzvYmtbvKD8xnVlkmxpKaIOyENwYc0d_FHC2g5Wk078w_7Qw9Exd9Is3msxsEmLK,https://mp.weixin.qq.com/s?__biz=MzA5OTA0NTAxOQ==&mid=2652011841&idx=1&sn=63942024a02a2606e6dc1a1b02ab8721&chksm=8a33ee612ca812b1fd842dd81a7a3fe296db2a72f1bc392bcfa7fb7b671719a4c1fe2a191afe&scene=27
4,"北师大研支团:梨花映赤浪,坐标向星辰",http://www.baidu.com/link?url=UNuoVHyVyUvEx0v7LQHmrlE896LsAI9jc9Y6KXOgImknrDt9NsgQmeTdhA_TWurW3UQUEG71JNpNmICEpEWHuTMBzoOJxo5gqKEdGFbr9ee,http://qnzj.cyol.com/pc/content/202505/13/content_410847.html
5,总书记回信的北师大“优师计划”师范生:为基层教育贡献新鲜力量,http://www.baidu.com/link?url=fhMrS0ijbx2E1FMthtQ7Ej17KL8qJ2CD46nNnl6GdJQkXccxfje3x4h3uRxaJ7zPSHXkf8T32J6VOXlUL_kImNLfS5AUO786vweiMYaI6Hq,https://baijiahao.baidu.com/s?id=1812338977237828504&wfr=spider&for=pc
6,践行教育家精神 —— 广西师范大学与北京师范大学联合赴富川支教...,http://www.baidu.com/link?url=o355mLZy2vYfccYvK_f8UySMt9lVgv6JX3azGFizEvKVc8uUguvzeB7AvKTbGjfcnB5oTCKaHO_IM2BFgxu3OCxqmzaQJ13PyjHqARPmwde,http://jyxb.gxnu.edu.cn/2024/0806/c8900a295406/page.htm
7,山外大学山巅梦——北师大岩口支教队队长朱启平的青春故事,http://www.baidu.com/link?url=BukA-A-L6lWm8gtn5fP3r_sqqNLPZDvzsHjLHeeZ3ndQWVCjLfv9haAoFNozZUpLrXcqeFmtcBxBmqAs5VjFbLaNOGUtzK-reU6W9rU9yDi,https://news.12371.cn/2013/05/02/ARTI1367441218960530.shtml
8,...北师大学子入职大凉山越西中学背后的故事_新闻频道_央视网...,http://www.baidu.com/link?url=uiOZyr5c-o_Vv5PrsNIFmkw8M23V7ZpQiujfzLIjcFm-CegvLfSv-CHwcGiLGNWZOtgzSkFIaIh7F5GmOGfpEWEcqHqEtgvqR4p6Qe_dyNW,https://news.cctv.com/2024/07/24/ARTIR2u365NvWzdjb8qOEcJw240724.shtml
9,北师大“优师计划”首届毕业生出征:行囊里装着三个向西的承诺,http://www.baidu.com/link?url=sJ-zdanhFz15IAdZ0gMBkjiiOyyZtWRPImyfv6Gvpee_jHEViGlfzROYm7fPaYgbd7elnFcSPr5ibhD1sSqYFB_m9zMA_-hTYFsP0NPTZgy,http://pub-zhtb.hizh.cn/a/202506/30/AP68618143e4b0ea3a79b77cca.html
10,阜阳阜南:北京师范大学2024暑期支教队走进于集中心小学,http://www.baidu.com/link?url=sYCIAR0DXFM_IUhxFFkMBdnrKsC-h_LNT9PL92bvbw1vtcNT2cGQtrfMabA6h98M3kWz0Jcddt7Tl_7x84Fs3a,https://www.360doc.cn/article/63474786_1133719602.html
11,...学部载育队赴山西左权县顺利开展教育公益行动 - 北京师范大学...,http://www.baidu.com/link?url=uiOZyr5c-o_Vv5PrsNIFmaYoMLb7kL4AGf_3rSzuUMprMzKiw4Yp_4DFVo1hkpZGBCOcHanNPaz_hMZFmSx3zq,https://fe.bnu.edu.cn/html/1/news/20240918/n8276.html
12,...北师大公费师范生古丽加汗·艾买提成长纪实-北京师范大学,http://www.baidu.com/link?url=uiOZyr5c-o_Vv5PrsNIFmlrzX0g-FCKBklEagm72UVlqVgRFJpa0DZXmcvXD-H69,https://www.bnu.edu.cn/ttgz/87472.htm
13,"BNU研支团丨木铎金声,滋兰树蕙,我们的支教回忆——王靖凯:万里...",http://www.baidu.com/link?url=sYCIAR0DXFM_IUhxFFkMBm7fikzjeyM_0EWPeklwjT9CuhYg57Lvy_y2heCVYoEf4vtjETplZxx-zW9zzbxQaj8A_xsKH1BQC8ZiXVh_A0eeq0KB4zkeFXaB1m2j1g0sYSTzHY6KpD6e5NWFtLFQ_twhGmolBlrzWVWnJX-H38Eb0gEvZXiOgHuxZrJCHWKXHZ5oaIUBw9FrzA1IgBuz_ydE_HO3zKykFasuNHlMN44LKYOqAnjIN9BDcsPDX5A8Z33poiO0Lwp5VmdWx3Uc9_,https://mp.weixin.qq.com/s?__biz=MzA5OTA0NTAxOQ==&mid=2652010515&idx=1&sn=a495bdd4d729fc0dc3d382757304a43a&chksm=8b6e83e7bc190af1e89f859b63fce0888d74f1122fc3428066b6074e703b9f1298579b095b82&scene=27
